"","Top","Top.Translated","Added","Added.Translated","Removed","Removed.Translated"
"1","wut (0.454)","fury","dermaßen (0.536)","so","elf (-0.343)","elf"
"2","widerlich (0.445)","disgusting","unfassbar (0.482)","incomprehensible","laut (-0.287)","sea"
"3","traurig (0.439)","sad","unglaublich (0.438)","incredible","stock (-0.221)","stock"
"4","hass (0.436)","hass","dummheit (0.43)","stupidity","bewertung (-0.146)","evaluation"
"5","angst (0.434)","angst","unnötig (0.424)","unnecessary","vertrag (-0.141)","contract"
"6","verzweiflung (0.433)","Despair","geradezu (0.416)","downright","pfund (-0.136)","Pound"
"7","unerträglich (0.419)","unbearable","echt (0.413)","Real","begrenzt (-0.105)","limited"
"8","asozial (0.418)","antisocial","schlicht (0.409)","simple","verbannt (-0.1)","banished"
"9","wütend (0.407)","angry","hetze (0.409)","rush","berater (-0.091)","advisor"
"10","furchtbar (0.405)","terrible","unglaubwürdig (0.409)","unbelievable","sterblichkeit (-0.088)","mortality"
"11","lächerlich (0.395)","ridiculous","unverantwortlich (0.405)","irresponsible","abstimmung (-0.083)","poll"
"12","schrecklich (0.385)","terrible","irrationale (0.404)","irrational","einspruch (-0.083)","objection"
"13","dreist (0.384)","brash","empfinde (0.401)","feel","wörter (-0.082)","words"
"14","verzweifeln (0.37)","despair","irre (0.4)","crazy","trotz (-0.074)","despite"
"15","diskriminierung (0.361)","discrimination","erbärmlich (0.396)","pathetic","abgezogen (-0.072)","deducted"
"16","inkompetent (0.345)","incompetent","leid (0.39)","sorrow","verfolgen (-0.068)","track"
"17","arrogant (0.334)","arrogant","hysterie (0.388)","hysteria","abstand (-0.064)","distance"
"18","egoistisch (0.332)","egotistical","regelrecht (0.385)","downright","wüste (-0.061)","desert"
"19","abstoßend (0.331)","repulsive","frust (0.382)","frustration","verschlechterung (-0.056)","deterioration"
"20","verrückt (0.33)","crazy","gruselig (0.382)","creepy","beschwerde (-0.052)","complaint"
"21","armut (0.33)","poverty","verantwortungslos (0.379)","irresponsible","bärendienst (-0.052)","disservice"
"22","geschrei (0.328)","shouting","bezeichnen (0.379)","describe","verstoß (-0.052)","violation"
"23","elend (0.328)","misery","derart (0.376)","like that","revolution (-0.044)","revolution"
"24","gewalt (0.325)","force","langweilig (0.374)","boring","ausbruch (-0.044)","outbreak"
"25","wahnsinnig (0.32)","insane","satt (0.373)","sat","stürmen (-0.043)","storm"
"26","wahnsinn (0.318)","craziness","soooo (0.37)","soooo","greifen (-0.043)","grab"
"27","empörung (0.317)","indignation","total (0.367)","total","ausweichen (-0.036)","evade"
"28","unfair (0.316)","unfair","pure (0.363)","pure","verlassen (-0.03)","leave"
"29","verdammt (0.314)","damned","übertrieben (0.362)","exaggerated","knappheit (-0.029)","scarcity"
"30","bedrohung (0.313)","threat","vorsätzlich (0.362)","intentionally","spitze (-0.026)","great"
