"","Top","Top.Translated","Added","Added.Translated","Removed","Removed.Translated"
"1","unerträglich (0.486)","unbearable","dermaßen (0.55)","so","elf (-0.336)","elf"
"2","widerlich (0.482)","disgusting","echt (0.486)","Real","ursprünglich (-0.154)","originally"
"3","furchtbar (0.476)","terrible","unfassbar (0.485)","incomprehensible","verlängern (-0.124)","extend"
"4","erbärmlich (0.464)","pathetic","unglaublich (0.475)","incredible","john (-0.123)","john"
"5","asozial (0.463)","antisocial","bezeichnen (0.474)","describe","schanghai (-0.119)","Shanghai"
"6","lächerlich (0.453)","ridiculous","traurig (0.467)","sad","verschlechterung (-0.111)","deterioration"
"7","schrecklich (0.437)","terrible","geradezu (0.463)","downright","kongress (-0.096)","congress"
"8","erschreckend (0.428)","frightening","dummheit (0.45)","stupidity","toilette (-0.084)","toilet"
"9","verzweifeln (0.409)","despair","dreist (0.45)","brash","tetanus (-0.082)","tetanus"
"10","arrogant (0.401)","arrogant","krass (0.449)","cool","made (-0.074)","made"
"11","schlimm (0.4)","terrible","langweilig (0.441)","boring","malaria (-0.074)","malaria"
"12","wütend (0.397)","angry","unverantwortlich (0.439)","irresponsible","trotz (-0.068)","despite"
"13","unfair (0.394)","unfair","gruselig (0.439)","creepy","notlage (-0.064)","emergency"
"14","egoistisch (0.39)","egotistical","unglaubwürdig (0.438)","unbelievable","beschränkt (-0.053)","limited"
"15","verrückt (0.372)","crazy","satt (0.431)","sat","verlassen (-0.052)","leave"
"16","verzweiflung (0.372)","Despair","absurd (0.426)","absurd","verschwenden (-0.05)","waste"
"17","elend (0.363)","misery","soooo (0.426)","soooo","wüste (-0.042)","desert"
"18","unangenehm (0.359)","unpleasant","irre (0.424)","crazy","strenge (-0.041)","strict"
"19","hass (0.353)","hass","gefährlich (0.421)","dangerous","abgezogen (-0.036)","deducted"
"20","krank (0.341)","sick","übertrieben (0.419)","exaggerated","terrorismus (-0.033)","terrorism"
"21","schäbig (0.34)","shabby","leid (0.419)","sorrow","strafverfolgung (-0.028)","Prosecution"
"22","unangemessen (0.339)","inappropriate","unnötig (0.417)","unnecessary","beschwerde (-0.026)","complaint"
"23","abstoßend (0.338)","repulsive","peinlich (0.416)","awkward","verzögerung (-0.025)","delay"
"24","schädlich (0.338)","harmful","dumm (0.416)","dumb","klage (-0.021)","complain"
"25","ignorant (0.338)","ignorant","sooo (0.415)","sooo","haft (-0.02)","had"
"26","bedauerlich (0.338)","regrettable","total (0.415)","total","gewinnen (-0.011)","win"
"27","verdammt (0.335)","damned","verantwortungslos (0.411)","irresponsible","bärendienst (-0.008)","disservice"
"28","grotesk (0.333)","grotesque","ziemlich (0.411)","quite","schikaniert (-0.008)","bullied"
"29","armut (0.332)","poverty","empfinde (0.411)","feel","übergewichtig (-0.008)","overweight"
"30","seltsam (0.329)","strange","zynisch (0.41)","cynical","ausweichen (-0.005)","evade"
