"","Top","Top.Translated","Added","Added.Translated","Removed","Removed.Translated"
"1","angst (0.526)","angst","leid (0.447)","sorrow","stock (-0.242)","stock"
"2","krankheit (0.509)","illness","unnötig (0.442)","unnecessary","bund (-0.224)","bund"
"3","gefahr (0.455)","danger","dermaßen (0.431)","so","elf (-0.221)","elf"
"4","tod (0.44)","tod","unfassbar (0.422)","incomprehensible","schanghai (-0.205)","Shanghai"
"5","armut (0.434)","poverty","menschheit (0.421)","humanity","untersuchung (-0.186)","investigation"
"6","bedrohung (0.426)","threat","bedroht (0.404)","threatened","abschluss (-0.177)","diploma"
"7","hysterie (0.417)","hysteria","schlimmer (0.402)","worse","abfragen (-0.172)","Interrogate"
"8","traurig (0.414)","sad","wut (0.396)","fury","sturz (-0.168)","fall"
"9","gefährlich (0.41)","dangerous","zunehmend (0.395)","increasingly","bewertung (-0.162)","evaluation"
"10","schlimm (0.406)","terrible","unglaublich (0.39)","incredible","entlarven (-0.162)","expose"
"11","furchtbar (0.401)","terrible","echt (0.386)","Real","beklagte (-0.152)","defendant"
"12","panik (0.387)","panic","deswegen (0.381)","because of this","verbannt (-0.144)","banished"
"13","krank (0.382)","sick","irgendwann (0.38)","sometime","verschwenden (-0.14)","waste"
"14","elend (0.378)","misery","virus (0.38)","virus","berater (-0.123)","advisor"
"15","diskriminierung (0.377)","discrimination","existenz (0.379)","existence","uhr (-0.11)","clock"
"16","krieg (0.373)","war","anzustecken (0.379)","to infect","polio (-0.109)","polio"
"17","einsamkeit (0.367)","lonliness","verzweiflung (0.376)","Despair","fehlen (-0.104)","miss"
"18","epidemie (0.36)","epidemic","stress (0.374)","stress","standhalten (-0.102)","withstand"
"19","katastrophe (0.355)","catastrophe","dadurch (0.374)","through this","schikaniert (-0.098)","bullied"
"20","pandemie (0.354)","pandemic","schwerer (0.374)","heavier","sprit (-0.096)","sprit"
"21","gewalt (0.352)","force","bekämpfen (0.374)","fight","strom (-0.094)","electricity"
"22","gefühl (0.35)","feeling","isolation (0.37)","isolation","aufenthalt (-0.091)","stay"
"23","schrecklich (0.348)","terrible","dummheit (0.37)","stupidity","ware (-0.088)","ware"
"24","hass (0.346)","hass","irre (0.37)","crazy","prognose (-0.085)","forecast"
"25","widerlich (0.345)","disgusting","seuche (0.368)","plague","abgezogen (-0.085)","deducted"
"26","wahnsinn (0.343)","craziness","derart (0.367)","like that","besetzen (-0.083)","occupy"
"27","opfer (0.343)","victim","tut (0.366)","Tut","mafia (-0.082)","mafia"
"28","erwischt (0.342)","caught","letztlich (0.365)","ultimately","wüste (-0.067)","desert"
"29","gefährdet (0.34)","endangered","schlicht (0.365)","simple","linien (-0.06)","lines"
"30","erkrankung (0.338)","illness","bewusst (0.364)","consciously","höchste (-0.059)","highest"
