"","Top","Top.Translated","Added","Added.Translated","Removed","Removed.Translated"
"1","übertrieben (0.475)","exaggerated","dermaßen (0.544)","so","laut (-0.451)","sea"
"2","arg (0.474)","arg","derart (0.454)","like that","knapp (-0.37)","meager"
"3","arrogant (0.46)","arrogant","schier (0.433)","sheer","kündigte (-0.368)","quit"
"4","unverhältnismäßig (0.451)","disproportionate","geradezu (0.431)","downright","sagte (-0.336)","said"
"5","widerlich (0.44)","disgusting","soooo (0.409)","soooo","geplant (-0.322)","planned"
"6","unnötig (0.435)","unnecessary","mitunter (0.402)","sometimes","ende (-0.295)","end"
"7","asozial (0.429)","antisocial","außerordentlich (0.4)","extraordinary","verlassen (-0.247)","leave"
"8","irrationale (0.423)","irrational","zutiefst (0.4)","deeply","forderte (-0.238)","demanded"
"9","anstrengend (0.421)","stressful","derartig (0.394)","such","stock (-0.224)","stock"
"10","erschreckend (0.419)","frightening","hochgradig (0.393)","highly","warten (-0.219)","wait"
"11","krass (0.412)","cool","überzogen (0.379)","overdrawn","not (-0.205)","not"
"12","gruselig (0.408)","creepy","überaus (0.378)","exceedingly","beschäftigte (-0.205)","busy"
"13","unangebracht (0.408)","inappropriate","satt (0.375)","sat","kurz (-0.196)","short"
"14","unangemessen (0.407)","inappropriate","dargestellt (0.374)","shown","fehlten (-0.191)","were missing"
"15","schrecklich (0.406)","terrible","zunehmend (0.374)","increasingly","todesfälle (-0.189)","deaths"
"16","erbärmlich (0.4)","pathetic","geistig (0.373)","spiritually","kurzem (-0.187)","recently"
"17","furchtbar (0.4)","terrible","sooo (0.37)","sooo","abgeschlossen (-0.185)","completed"
"18","unglaubwürdig (0.398)","unbelievable","unglaublich (0.365)","incredible","müssen (-0.182)","must"
"19","maßlos (0.396)","excessive","hinsicht (0.364)","respects","bitte (-0.178)","please"
"20","verzweiflung (0.396)","Despair","empfinde (0.354)","feel","schnitt (-0.176)","cut"
"21","unverschämt (0.396)","outrageous","regelrecht (0.353)","downright","minus (-0.176)","minus"
"22","zynisch (0.391)","cynical","gross (0.352)","gross","ließ (-0.175)","let"
"23","verdächtig (0.386)","suspicious","äußerst (0.35)","extremely","infektionen (-0.172)","infections"
"24","verwirrt (0.385)","confused","schräg (0.348)","aslant","befristet (-0.171)","limited"
"25","verlogen (0.381)","lying","witzig (0.348)","funny","allein (-0.17)","alone"
"26","absurd (0.378)","absurd","überzogenen (0.346)","plated","schließen (-0.168)","close"
"27","vorsätzlich (0.376)","intentionally","not_schwer (0.344)","not_difficult","fehlen (-0.165)","miss"
"28","schädlich (0.374)","harmful","höchst (0.344)","maximum","kleinen (-0.165)","small"
"29","inkompetent (0.374)","incompetent","schlauer (0.343)","smarter","niedrigsten (-0.162)","lowest"
"30","wahnsinnig (0.373)","insane","überwindung (0.342)","overcoming","gegensatz (-0.161)","contrast"
